"","State","Size"
"1","CDL_2009_Connecticut.tif","25969095"
"2","CDL_2009_Rhode Island.tif","8400183"
"3","CDL_2009_Alabama.tif","211575104"
"4","CDL_2009_Arkansas.tif","199648366"
"5","CDL_2009_Connecticut.tif","25969095"
"6","CDL_2009_Delaware.tif","16745716"
"7","CDL_2009_District of Columbia.tif","463887"
"8","CDL_2009_Florida.tif","619967056"
"9","CDL_2009_Georgia.tif","271366508"
"10","CDL_2009_Illinois.tif","248367315"
"11","CDL_2009_Indiana.tif","143769968"
"12","CDL_2009_Iowa.tif","207655980"
"13","CDL_2009_Kansas.tif","256581162"
"14","CDL_2009_Kentucky.tif","243137392"
"15","CDL_2009_Louisiana.tif","258472604"
"16","CDL_2009_Maine.tif","190768016"
"17","CDL_2009_Maryland.tif","94378725"
"18","CDL_2009_Massachusetts.tif","63483744"
"19","CDL_2009_Michigan.tif","543935520"
"20","CDL_2009_Minnesota.tif","421499820"
"21","CDL_2009_Mississippi.tif","194059800"
"22","CDL_2009_Missouri.tif","334365766"
"23","CDL_2009_Nebraska.tif","294685260"
"24","CDL_2009_New Hampshire.tif","54604935"
"25","CDL_2009_New Jersey.tif","39418272"
"26","CDL_2009_New York.tif","382944366"
"27","CDL_2009_North Carolina.tif","302241086"
"28","CDL_2009_Ohio.tif","189018900"
"29","CDL_2009_Oklahoma.tif","338814416"
"30","CDL_2009_Pennsylvania.tif","191750184"
"31","CDL_2009_Rhode Island.tif","8400183"
"32","CDL_2009_South Carolina.tif","170566472"
"33","CDL_2009_South Dakota.tif","282796128"
"34","CDL_2009_Tennessee.tif","218564548"
"35","CDL_2009_Texas.tif","1659693750"
"36","CDL_2009_Vermont.tif","46874880"
"37","CDL_2009_Virginia.tif","306481280"
"38","CDL_2009_West Virginia.tif","174583225"
"39","CDL_2009_Wisconsin.tif","309499995"
